user_id,first_leads_dtm
5a65cd0f4eacab5e4ba06b8e,20260606
5cb2f0dc000000001203a6c4,20260527
5b16443a11be104b90144d95,20260510
5b9d26b0fd83660001c82f1b,20260531
5ea334d400000000010028fc,20260510
60fae9680000000001009ddd,20260607
62d62b1f00000000020006f6,20260525
66175aed000000000d025287,20260530
68e9c988000000003201dd3e,20260521
68e09fe20000000037006504,20260513
61362b800000000002025970,20260514
58de7a2e6a6a696a56fd8ebc,20260513
5cc9c75a0000000016022fca,20260525
5b7660094115e000012c1a52,20260605
5ea19f520000000001006339,20260530
6708a413000000001d022b29,20260518
61fcb89d000000001000ff1c,20260606
65dc48170000000005008820,20260512
5f10fb7f00000000010052cc,20260514
67c07489000000000e0105ac,20260511
680de1c4000000000a03f567,20260518
638aa2fa000000001f01742b,20260525
5fd8a6830000000001005cb7,20260528
63591fbb0000000018028668,20260607
639572f1000000002702a874,20260528
5dd89d610000000001000d74,20260520
594f52936a6a690ef4c838d9,20260519
688f7ebf0000000028037cc2,20260518
658ad7970000000022009689,20260602
5bf0256eef6b2f0001d720d8,20260531
61021f3e000000000101fe64,20260529
5f75a3c0000000000100bfee,20260531
5cfa8893000000001700f752,20260522
5f09c8bc0000000001007275,20260520
63e3a2920000000026006a8e,20260603
616ac863000000000201b77e,20260531
61b6c37a000000001000837c,20260524
593f50c850c4b4667c0c3a59,20260529
5c1fa93d00000000060044f3,20260521
610f6d2600000000010003d4,20260527
5c77400a000000001003ab86,20260526
5bb37db17d8711000146a0f3,20260511
5fe0696f0000000001008052,20260517
615c481d000000000201e770,20260511
5fe20d930000000001009814,20260607
63200ff800000000230242f9,20260515
5c2f1f1c0000000007018c64,20260514
6985ef2c00000000210128f2,20260606
648491330000000012036981,20260522
6991493e000000001d0037f8,20260513
5668e24ea40e18468958c7d1,20260602
5d1324f60000000010026465,20260525
65fccc42000000000600ce4f,20260514
607ce08b000000000100ab49,20260608
604ca456000000000100172b,20260531
5ff94a1f000000000100bf34,20260602
5d1389d60000000012009e19,20260529
63e33bcc000000002702aafc,20260608
5a94f70c4eacab48d48fe039,20260525
60bb67370000000001006d2c,20260519
5e7f644500000000010072b5,20260607
59b149fc5e87e76530cdb4fd,20260522
630a1b17000000001200d975,20260601
60612a74000000000100b3bc,20260515
5bdf81dcb86ade00015b127d,20260523
68e4d256000000003702b162,20260515
5e7167680000000001003a3e,20260521
5bc5d271cd3d1c0001c9990b,20260531
5aed76c7f7e8b946aeb7a9b1,20260529
5c71496d00000000100034aa,20260513
64f934780000000005000b30,20260525
622c2a63000000001000561f,20260608
631b39f3000000002302558c,20260602
6894d7390000000028030f4d,20260531
5bafb6849ae4460001a5e867,20260602
625673d4000000000d032fc8,20260606
6120c26d0000000001007d67,20260604
62ac7d840000000019029b03,20260604
618231b40000000010007926,20260529
61d878aa000000001000aa53,20260604
5afae4d94eacab637c629229,20260601
5d31df8f00000000160098c5,20260530
5a48bc28e8ac2b3d363c79f5,20260518
5853181882ec3975ff6f4bf1,20260604
69144a71000000003702a1dd,20260514
5dc124d30000000001005c1c,20260525
5e201a5200000000010027c3,20260524
5906950c6a6a69036f438f2e,20260531
5adb2d7711be104bda9bdea3,20260514
5f70616600000000010099a8,20260526
5a658fa74eacab3f75fc940e,20260521
5ba2fbbf086a8c0001137614,20260526
61bedf230000000010004d18,20260525
66bb8c66000000001d023352,20260514
5b18d0206b58b75c014596c4,20260511
663c44db0000000007005a1e,20260601
63a404aa00000000260107ff,20260527
5f7c8a550000000001003807,20260605
64abe75c000000001c028f75,20260525
5f437791000000000101df46,20260510
